id,name,id_provinsi
simeulue,Simeulue,aceh
nagan-raya,"Nagan Raya",aceh
suka-makmue,"Suka Makmue",aceh
kab-aceh-utara,"Kab. Aceh Utara",aceh
aceh-barat-daya,"Aceh Barat Daya",aceh
tapak-tuan,"Tapak Tuan",aceh
lhoksukon,Lhoksukon,aceh
blangkejeren,Blangkejeren,aceh
simpang-tiga-redelong,"Simpang Tiga Redelong",aceh
kabaceh-tamiang,"Kab.aceh Tamiang",aceh
bireuen,Bireuen,aceh
banda-aceh,"Banda Aceh",aceh
singkil,Singkil,aceh
kab-aceh-besar,"Kab. Aceh Besar",aceh
rantau,Rantau,aceh
blangpidie,Blangpidie,aceh
kab-pidie,"Kab Pidie",aceh
aceh-tengah,"Aceh Tengah",aceh
kota-sabang,"Kota Sabang",aceh
meureudu,Meureudu,aceh
jantho,Jantho,aceh
aceh-jaya,"Aceh Jaya",aceh
kuala-simpang-,"Kuala Simpang ",aceh
kab-gayo-lues,"Kab Gayo Lues",aceh
bener-meriah,"Bener Meriah",aceh
sinabang,Sinabang,aceh
pidie-jaya,"Pidie Jaya",aceh
aceh-tenggara,"Aceh Tenggara",aceh
takengon,Takengon,aceh
meulaboh,Meulaboh,aceh
kab-aceh-selatan,"Kab. Aceh Selatan",aceh
langsa,Langsa,aceh
calang,Calang,aceh
subulussalam,Subulussalam,aceh
kab-aceh-timur,"Kab. Aceh Timur",aceh
idi-rayeuk,"Idi Rayeuk",aceh
sabang,Sabang,aceh
aceh-barat,"Aceh Barat",aceh
lhokseumawe,Lhokseumawe,aceh
sigli,Sigli,aceh
kab-aceh-singkil,"Kab. Aceh Singkil",aceh
kutacane,Kutacane,aceh
singaraja,Singaraja,bali
kab-bangli,"Kab Bangli",bali
negara,Negara,bali
karang-asem,"Karang Asem",bali
kab-buleleng,"Kab Buleleng",bali
kab-jembrana,"Kab Jembrana",bali
tabanan,Tabanan,bali
kab-badung,"Kab Badung",bali
bangli,Bangli,bali
gianyar,Gianyar,bali
amlapura-,"Amlapura ",bali
semarapura,Semarapura,bali
denpasar,Denpasar,bali
kab-tangerang,"Kab Tangerang",banten
tigaraksa,Tigaraksa,banten
kab-serang,"Kab Serang",banten
cilegon,Cilegon,banten
lebak,Lebak,banten
tangerang,Tangerang,banten
baros,Baros,banten
rangkasbitung,Rangkasbitung,banten
kab-pandeglang,"Kab Pandeglang",banten
tangerang-selatan,"Tangerang Selatan",banten
serang,Serang,banten
pandeglang,Pandeglang,banten
serpong,Serpong,banten
kota-manna,"Kota Manna",bengkulu
curup,Curup,bengkulu
kepahiang,Kepahiang,bengkulu
kab-kaur,"Kab Kaur",bengkulu
bengkulu,Bengkulu,bengkulu
tais,Tais,bengkulu
lebong,Lebong,bengkulu
kab-bengkulu-selatan,"Kab Bengkulu Selatan",bengkulu
kab-rejang-lebong,"Kab Rejang Lebong",bengkulu
arga-makmur,"Arga Makmur",bengkulu
kaur,Kaur,bengkulu
kab-kepahiang,"Kab Kepahiang",bengkulu
bengkulu-tengah,"Bengkulu Tengah",bengkulu
mukomuko,Mukomuko,bengkulu
kab-seluma,"Kab Seluma",bengkulu
kab-bengkulu-utara,"Kab Bengkulu Utara",bengkulu
gorontalo,Gorontalo,gorontalo
pohuwato,Pohuwato,gorontalo
boalemo,Boalemo,gorontalo
suwawa,Suwawa,gorontalo
kab-gorontalo-utara,"Kab Gorontalo Utara",gorontalo
kab-bone-bolango,"Kab Bone Bolango",gorontalo
tilamuta,Tilamuta,gorontalo
kab-pahuwato,"Kab Pahuwato",gorontalo
marisa,Marisa,gorontalo
kab-boalemo,"Kab Boalemo",gorontalo
kwandang,Kwandang,gorontalo
kab-gorontalo,"Kab Gorontalo",gorontalo
jakarta-selatan,"Jakarta Selatan",jakarta
jakarta-timur,"Jakarta Timur",jakarta
jakarta-utara,"Jakarta Utara",jakarta
kepulauan-seribu,"Kepulauan Seribu",jakarta
jakarta-barat,"Jakarta Barat",jakarta
jakarta-pusat,"Jakarta Pusat",jakarta
muara-bungo,"Muara Bungo",jambi
muara-sabak,"Muara Sabak",jambi
tanjung-jabung-barat,"Tanjung Jabung Barat",jambi
kab-bungo,"Kab Bungo",jambi
kab-batang-hari,"Kab Batang Hari",jambi
kab-kerinci,"Kab Kerinci",jambi
tebo,Tebo,jambi
kab-tanjung-jabung-timur,"Kab Tanjung Jabung Timur",jambi
sungai-penuh,"Sungai Penuh",jambi
muaro-jambi,"Muaro Jambi",jambi
bangko,Bangko,jambi
muara-bulian,"Muara Bulian",jambi
jambi,Jambi,jambi
kuala-tungkal,"Kuala Tungkal",jambi
sarolangun,Sarolangun,jambi
sengeti,Sengeti,jambi
kab-sarolangun,"Kab Sarolangun",jambi
kab-merangin,"Kab Merangin",jambi
muara-tebo,"Muara Tebo",jambi
banjar,Banjar,jawa-barat
sumedang,Sumedang,jawa-barat
sukabumi,Sukabumi,jawa-barat
cibinong,Cibinong,jawa-barat
bekasi,Bekasi,jawa-barat
depok,Depok,jawa-barat
indramayu,Indramayu,jawa-barat
majalengka,Majalengka,jawa-barat
ngamprah,Ngamprah,jawa-barat
kab-cirebon,"Kab Cirebon",jawa-barat
kab-tasikmalaya,"Kab Tasikmalaya",jawa-barat
bogor,Bogor,jawa-barat
kab-banjar,"Kab Banjar",jawa-barat
cikarang,Cikarang,jawa-barat
garut,Garut,jawa-barat
kab-subang,"Kab Subang",jawa-barat
cimahi,Cimahi,jawa-barat
kab-kuningan,"Kab Kuningan",jawa-barat
ciamis,Ciamis,jawa-barat
cikarang-timur,"Cikarang Timur",jawa-barat
kab-ciamis,"Kab Ciamis",jawa-barat
kab-bekasi,"Kab. Bekasi",jawa-barat
subang,Subang,jawa-barat
cirebon,Cirebon,jawa-barat
kab-bandung,"Kab Bandung",jawa-barat
sumber,Sumber,jawa-barat
bandung,Bandung,jawa-barat
kab-bogor,"Kab Bogor",jawa-barat
cianjur,Cianjur,jawa-barat
karawang,Karawang,jawa-barat
kab-purwakarta,"Kab Purwakarta",jawa-barat
cikarang-utara,"Cikarang Utara",jawa-barat
kab-cianjur,"Kab Cianjur",jawa-barat
singaparna,Singaparna,jawa-barat
kuningan,Kuningan,jawa-barat
purwakarta,Purwakarta,jawa-barat
kab-bandung-barat,"Kab Bandung Barat",jawa-barat
soreang,Soreang,jawa-barat
kab-majalengka,"Kab Majalengka",jawa-barat
tasikmalaya,Tasikmalaya,jawa-barat
cilacap,Cilacap,jawa-tengah
giritronto,Giritronto,jawa-tengah
pati,Pati,jawa-tengah
