id,name
aceh,Aceh
bali,Bali
banten,Banten
bengkulu,Bengkulu
gorontalo,Gorontalo
jakarta,Jakarta
jambi,Jambi
jawa-barat,Jawa Barat
jawa-tengah,Jawa Tengah
jawa-timur,Jawa Timur,
kalimantan-barat,Kalimantan Barat
kalimantan-selatan,Kalimantan Selatan
kalimantan-tengah,Kalimantan Tengah
kalimantan-timur,Kalimantan Timur
kalimantan-utara,Kalimantan Utara
kepulauan-bangka-belitung,Kepulauan Bangka Belitung
kepulauan-riau,Kepulauan Riau
lampung,Lampung
maluku,Maluku
maluku-utara,Maluku Utara
nusa-tenggara-barat,Nusa Tenggara Barat
nusa-tenggara-timur,Nusa Tenggara Timur
papua,Papua
papua-barat,Papua Barat
riau,Riau
sulawesi-barat,Sulawesi Barat
sulawesi-selatan,Sulawesi Selatan
sulawesi-tengah,Sulawesi Tengah
sulawesi-tenggara,Sulawesi Tenggara
sulawesi-utara,Sulawesi Utara
sumatera-barat,Sumatera Barat
sumatera-selatan,Sumatera Selatan
sumatera-utara,Sumatera Utara
yogyakarta,DI Yogyakarta
